method,run,seed,cost
HS,79,78,211761.20019953203
HS,80,79,226509.0273416569
HS,81,80,267570.64390074846
HS,82,81,2202955.7557374733
HS,83,82,2329023.58385808
HS,84,83,3163759.088855525
HS,85,84,183688.91994740473
HS,86,85,1311942.8323906062
HS,87,86,305108.9108137976
HS,88,87,3152621.7708521746
HS,89,88,1631775.545094811
HS,90,89,1135646.9456712753
HS,91,90,1256773.3427114072
HS,92,91,324177.46254678286
HS,93,92,1228554.3520466022
HS,94,93,393369.8699908328
HS,95,94,536759.24441224
HS,96,95,2245910.8733199276
HS,97,96,1357850.2547097886
HS,98,97,1191002.9929780387
HS,99,98,1496422.092960255
HS,100,99,1111967.2316957873
FPA,1,0,175352.65079429798
FPA,2,1,177871.87008669676
FPA,3,2,98213.62731521003
FPA,4,3,193219.75466480452
FPA,5,4,194885.3598534846
FPA,6,5,173637.05592540113
FPA,7,6,135989.19128176966
FPA,8,7,244480.6812749259
FPA,9,8,254311.9766787253
FPA,10,9,142974.550176516
FPA,11,10,185756.8675188632
FPA,12,11,180087.63329884096
FPA,13,12,164233.43382835595
FPA,14,13,170809.3954253599
FPA,15,14,203054.12193926927
FPA,16,15,159248.43039547012
FPA,17,16,207632.6447745242
FPA,18,17,159471.1949793093
FPA,19,18,144944.03468831468
FPA,20,19,156652.12130785422
FPA,21,20,142114.80664451915
FPA,22,21,101732.14154189297
FPA,23,22,153555.27725757356
FPA,24,23,157095.45005693717
FPA,25,24,122648.3186665311
FPA,26,25,158623.9074355218
FPA,27,26,138185.6824216395
FPA,28,27,114237.65958669076
FPA,29,28,194065.48366239198
FPA,30,29,217554.40036192318
FPA,31,30,183408.99573329842
FPA,32,31,145348.71024146586
FPA,33,32,202671.33188673778
FPA,34,33,124269.67830670901
FPA,35,34,142876.85762785331
FPA,36,35,142638.3578079205
FPA,37,36,174378.0247529612
FPA,38,37,156095.395439342
FPA,39,38,170836.9263908971
FPA,40,39,196666.63505647902
FPA,41,40,143952.76594901917
FPA,42,41,182304.13558447812
FPA,43,42,168010.07032294013
FPA,44,43,123063.29534785266
FPA,45,44,139472.4845740462
FPA,46,45,116919.54552946027
FPA,47,46,140481.4959696985
FPA,48,47,170882.51091321805
FPA,49,48,141118.65054917213
FPA,50,49,100146.1895252447
FPA,51,50,185644.20050167042
FPA,52,51,163187.28484530718
FPA,53,52,125015.70751499379
FPA,54,53,233234.47508450743
FPA,55,54,157989.54182554025
FPA,56,55,186949.47587768847
FPA,57,56,200780.00420972682
FPA,58,57,141185.22248407314
FPA,59,58,212084.0939454912
FPA,60,59,172510.05101585604
FPA,61,60,113950.49293238336
FPA,62,61,151444.0477697531
FPA,63,62,169865.9674471255
FPA,64,63,193838.92891092048
FPA,65,64,435282.12187803927
FPA,66,65,173376.73424702734
FPA,67,66,153527.19108219634
FPA,68,67,148522.90855375063
FPA,69,68,164284.95176836307
FPA,70,69,142515.1474449418
FPA,71,70,150998.24143809223
FPA,72,71,169860.01064546648
FPA,73,72,158386.16695350612
FPA,74,73,248178.7838983483
FPA,75,74,166652.80500283887
FPA,76,75,207045.54847986624
FPA,77,76,159852.89593329935
FPA,78,77,128045.53002382086
FPA,79,78,133731.25225131787
FPA,80,79,94862.7507246895
FPA,81,80,160672.16865041325
FPA,82,81,139810.38684365185
FPA,83,82,184520.77631722493
FPA,84,83,145588.81454723165
FPA,85,84,149470.57673174154
FPA,86,85,133243.54524075927
FPA,87,86,221080.81129591388
FPA,88,87,139712.54136818086
FPA,89,88,220959.03527118618
FPA,90,89,118627.30363181052
FPA,91,90,168270.77373375476
FPA,92,91,150146.59537093635
FPA,93,92,166509.13665324694
FPA,94,93,192448.2857936762
FPA,95,94,192549.15804377204
FPA,96,95,142431.4582503663
FPA,97,96,192294.7872753237
FPA,98,97,146338.593317148
FPA,99,98,188293.02721364287
FPA,100,99,116646.14931888778
PSO,1,0,176340.72561494762
PSO,2,1,252128.66035741457
PSO,3,2,93448.2573593225
PSO,4,3,192017.71678942582
PSO,5,4,195751.6337171192
PSO,6,5,1174032.882244132
PSO,7,6,139480.34735739345
PSO,8,7,240814.9234317825
PSO,9,8,256976.30674036182
PSO,10,9,142429.5697183241
PSO,11,10,182521.4341496188
PSO,12,11,180108.7594586092
PSO,13,12,163156.84992274732
PSO,14,13,171188.23094752376
PSO,15,14,203846.62222113606
PSO,16,15,162919.96785737117
PSO,17,16,1136519.2257047815
PSO,18,17,158414.2747412372
PSO,19,18,143501.40608115846
PSO,20,19,157292.45663086406
PSO,21,20,1143326.8844920006
PSO,22,21,102565.4716984674
PSO,23,22,152951.81813947036
PSO,24,23,157123.65975347435
PSO,25,24,119288.08129749267
PSO,26,25,158454.9063941081
PSO,27,26,137650.31942617294
PSO,28,27,114035.17385614362
PSO,29,28,1193302.2015157172
PSO,30,29,221588.91387178653
PSO,31,30,180106.48012561703
PSO,32,31,144886.6747360995
PSO,33,32,201416.02692606684
PSO,34,33,120981.88053019889
PSO,35,34,142594.87237422814
PSO,36,35,143728.58144236234
PSO,37,36,1174395.0908420929
PSO,38,37,156821.34042754883
PSO,39,38,172144.70352174467
PSO,40,39,256017.9465016827
PSO,41,40,140152.32369042546
PSO,42,41,178451.4464171709
PSO,43,42,168522.0753239538
PSO,44,43,119403.1215454015
PSO,45,44,139375.60801414144
PSO,46,45,107214.5761938033
PSO,47,46,140902.7225205551
PSO,48,47,1164590.2792082392
PSO,49,48,141218.5274332158
PSO,50,49,94556.12710258154
PSO,51,50,182172.37416896905
PSO,52,51,164741.2343927626
PSO,53,52,123117.66549399945
PSO,54,53,233074.99680640825
PSO,55,54,157429.5877982411
PSO,56,55,187849.95945158877
PSO,57,56,255647.43237495332
PSO,58,57,127167.26796491661
PSO,59,58,212029.936384601
PSO,60,59,171275.41696094783
PSO,61,60,115448.82479946477
PSO,62,61,150535.89644192738
PSO,63,62,170145.1039965396
PSO,64,63,193948.712765772
PSO,65,64,252791.1341400861
PSO,66,65,172734.39624075493
PSO,67,66,156702.082635535
PSO,68,67,148434.98243193395
PSO,69,68,162888.48650223794
PSO,70,69,142357.83134803953
PSO,71,70,151601.70273719804
PSO,72,71,172865.20512126334
PSO,73,72,151700.82339722305
PSO,74,73,248343.73412868072
PSO,75,74,1167258.7571219106
PSO,76,75,209101.09494334753
PSO,77,76,252770.85154231396
PSO,78,77,128049.92173317644
PSO,79,78,133197.4993202607
PSO,80,79,94085.17969208756
PSO,81,80,160935.25796842508
PSO,82,81,133767.24400213666
PSO,83,82,319223.8135157748
PSO,84,83,142657.63795929198
PSO,85,84,1116507.8018236626
PSO,86,85,122733.22228268953
PSO,87,86,222015.0586150572
PSO,88,87,133693.71945518258
PSO,89,88,253981.0789750345
PSO,90,89,113789.15784661486
PSO,91,90,137653.61844787977
PSO,92,91,149027.35654497432
PSO,93,92,165296.43421888072
PSO,94,93,255219.72925724834
PSO,95,94,192109.27557147245
PSO,96,95,252925.52222619942
PSO,97,96,191712.5123657007
PSO,98,97,147775.1612729569
PSO,99,98,189509.8886620499
PSO,100,99,112972.92640802693
CSO,1,0,176203.7707128831
CSO,2,1,178326.77932689578
CSO,3,2,98728.91321757408
CSO,4,3,193096.8137664113
CSO,5,4,195981.06412622752
CSO,6,5,1174605.274731859
CSO,7,6,141028.97081370527
CSO,8,7,241980.24339784883
CSO,9,8,254533.09313574966
CSO,10,9,150144.43288843747
CSO,11,10,186911.1230799419
CSO,12,11,1180829.83825096
CSO,13,12,1168725.3338327254
CSO,14,13,171822.8829101557
CSO,15,14,1202963.401338874
CSO,16,15,165192.90982299004
CSO,17,16,1176645.42100513
CSO,18,17,1161653.1321978238
CSO,19,18,2115470.748561372
CSO,20,19,1160617.411676205
CSO,21,20,1145732.5134517625
CSO,22,21,96814.6057949544
CSO,23,22,155446.3954961465
CSO,24,23,157860.61715303798
CSO,25,24,123036.3899088696
CSO,26,25,1161470.223755328
CSO,27,26,137271.03630031954
CSO,28,27,114179.80468612108
CSO,29,28,1193744.9813631817
CSO,30,29,217079.9083729989
CSO,31,30,180258.02991953338
CSO,32,31,147500.94819006868
CSO,33,32,207532.78443098383
CSO,34,33,121329.31611881942
CSO,35,34,143420.68228210422
CSO,36,35,1146739.6724166318
CSO,37,36,2177005.179100123
CSO,38,37,156227.91478677667
CSO,39,38,172167.6137785479
CSO,40,39,198351.62427546375
CSO,41,40,142754.2541603564
CSO,42,41,181783.36208513848
CSO,43,42,169037.0044656067
CSO,44,43,123452.14086654737
CSO,45,44,141816.6681245319
CSO,46,45,108332.17333741096
CSO,47,46,141134.1735351575
CSO,48,47,1164217.8557387008
CSO,49,48,144873.31570455836
CSO,50,49,1097046.3050518937
CSO,51,50,182705.6193448484
CSO,52,51,164681.323047271
CSO,53,52,1123191.808316133
CSO,54,53,234922.56442785924
CSO,55,54,158079.08915023948
CSO,56,55,191034.1612079121
CSO,57,56,1201104.8790872286
CSO,58,57,128050.37310735031
CSO,59,58,212905.90279051234
CSO,60,59,172609.64421633008
CSO,61,60,120750.8617062609
CSO,62,61,1159656.028013429
CSO,63,62,389778.43870925775
CSO,64,63,194643.73350055117
CSO,65,64,1364556.928580328
CSO,66,65,172688.77379797396
CSO,67,66,158734.73321089704
CSO,68,67,150962.66458657643
CSO,69,68,171517.7606847668
CSO,70,69,142605.6905987512
CSO,71,70,154192.10864267583
CSO,72,71,178386.96341041167
CSO,73,72,1154977.0511399184
CSO,74,73,1248686.3516800073
CSO,75,74,167473.90898678065
CSO,76,75,206533.65515554315
CSO,77,76,160117.3701858506
CSO,78,77,2135187.504259296
CSO,79,78,133287.3047542554
CSO,80,79,100732.66525493194
CSO,81,80,1161047.1059957119
CSO,82,81,133603.73328429143
CSO,83,82,185582.6899581542
CSO,84,83,149994.1121106489
CSO,85,84,1148634.1315804184
CSO,86,85,1130666.0082276047
CSO,87,86,222408.1344715288
CSO,88,87,1135687.5694229698
CSO,89,88,1222368.7911381263
CSO,90,89,1126060.244038864
CSO,91,90,136418.38286795493
CSO,92,91,155382.64901477343
CSO,93,92,167116.30130981884
CSO,94,93,193637.62243949098
CSO,95,94,193866.75389307155
CSO,96,95,1148442.4095687384
CSO,97,96,192417.1686246634
CSO,98,97,1147526.3711799593
CSO,99,98,188528.79854990495
CSO,100,99,118257.30586645642
BFO,1,0,182785.2878545564
BFO,2,1,1532063.177926583
BFO,3,2,227699.60281418634
BFO,4,3,1312012.6705081135
BFO,5,4,2364276.078618093
BFO,6,5,2252704.173714621
BFO,7,6,588483.16766555
BFO,8,7,1001353.3586677565
BFO,9,8,1696757.572672197
BFO,10,9,1177125.9071923194
BFO,11,10,1232648.3238082917
BFO,12,11,1188218.6658324518
BFO,13,12,2173808.9017650387
BFO,14,13,533918.9280015965
BFO,15,14,1312063.3031851894
BFO,16,15,2200166.196317427
BFO,17,16,3293082.1386971846
BFO,18,17,231976.32717918474
BFO,19,18,1126429.5587361872
BFO,20,19,567453.6463758141
BFO,21,20,1646459.712732382
BFO,22,21,1255160.4799778287
BFO,23,22,2228193.3020544504
BFO,24,23,193853.58347085016
BFO,25,24,204931.98250976615
BFO,26,25,1276689.8639935036
BFO,27,26,1240102.7660258338
BFO,28,27,1217240.55392997
BFO,29,28,1557393.381347098
BFO,30,29,1220521.8066980618
BFO,31,30,2468862.098730422
BFO,32,31,434149.8607724694
BFO,33,32,249928.39942437797
BFO,34,33,3127861.9668544196
BFO,35,34,2472340.6345039657
BFO,36,35,362373.9866091089
BFO,37,36,1398892.8929866531
BFO,38,37,290967.39946597884
BFO,39,38,1363537.186412806
BFO,40,39,1279550.1605180588
BFO,41,40,1267911.8379195507
BFO,42,41,613422.865770789
BFO,43,42,257018.0189886477
BFO,44,43,1285243.637020897
BFO,45,44,397378.7911485424
BFO,46,45,1519193.7994197432
BFO,47,46,238607.18669931966
BFO,48,47,1756025.7638201776
BFO,49,48,598839.6572558654
BFO,50,49,1219171.3875763114
BFO,51,50,2305257.8024760797
BFO,52,51,302098.0747626866
BFO,53,52,3255338.95520875
BFO,54,53,1358818.713851506
BFO,55,54,575300.3164205723
BFO,56,55,1307065.2546368814
BFO,57,56,2297501.769113048
BFO,58,57,1390382.0794510297
